Bahrain Grand Prix,5.412,2022
Saudi Arabian Grand Prix,6.174,2022
Australian Grand Prix,5.278,2022
Emilia Romagna Grand Prix,4.909,2022
Miami Grand Prix,5.412,2022
Spanish Grand Prix,4.657,2022
Monaco Grand Prix,3.337,2022
Azerbaijan Grand Prix,6.003,2022
Canadian Grand Prix,4.361,2022
British Grand Prix,5.891,2022
Austrian Grand Prix,4.326,2022
French Grand Prix,5.842,2022
Hungarian Grand Prix,4.381,2022
Belgian Grand Prix,7.004,2022
Dutch Grand Prix,4.259,2022
Italian Grand Prix,5.793,2022
Singapore Grand Prix,4.94,2022
Japanese Grand Prix,5.807,2022
United States Grand Prix,5.513,2022
Mexico City Grand Prix,4.304,2022
Sao Paulo Grand Prix,4.309,2022
Abu Dhabi Grand Prix,5.281,2022
Bahrain Grand Prix,5.412,2023
Saudi Arabian Grand Prix,6.174,2023
Australian Grand Prix,5.278,2023
Azerbaijan Grand Prix,6.003,2023
Miami Grand Prix,5.412,2023
Monaco Grand Prix,3.337,2023
Spanish Grand Prix,4.657,2023
Canadian Grand Prix,4.361,2023
Austrian Grand Prix,4.326,2023
British Grand Prix,5.891,2023
Hungarian Grand Prix,4.381,2023
Belgian Grand Prix,7.004,2023
Dutch Grand Prix,4.259,2023
Italian Grand Prix,5.793,2023
Singapore Grand Prix,4.94,2023
Japanese Grand Prix,5.807,2023
Qatar Grand Prix,5.419,2023
United States Grand Prix,5.513,2023
Mexico City Grand Prix,4.304,2023
Sao Paulo Grand Prix,4.309,2023
Las Vegas Grand Prix,6.201,2023
Abu Dhabi Grand Prix,5.281,2023
Bahrain Grand Prix,5.412,2024
Saudi Arabian Grand Prix,6.174,2024
Australian Grand Prix,5.278,2024
Japanese Grand Prix,5.807,2024
Chinese Grand Prix,5.451,2024
Miami Grand Prix,5.412,2024
Emilia Romagna Grand Prix,4.909,2024
Monaco Grand Prix,3.337,2024
Canadian Grand Prix,4.361,2024
Spanish Grand Prix,4.657,2024
Austrian Grand Prix,4.326,2024
British Grand Prix,5.891,2024
Hungarian Grand Prix,4.381,2024
Belgian Grand Prix,7.004,2024
Dutch Grand Prix,4.259,2024
Italian Grand Prix,5.793,2024
Azerbaijan Grand Prix,6.003,2024
Singapore Grand Prix,4.94,2024
United States Grand Prix,5.513,2024
Mexico City Grand Prix,4.304,2024
Sao Paulo Grand Prix,4.309,2024
Las Vegas Grand Prix,6.201,2024
Qatar Grand Prix,5.419,2024
Abu Dhabi Grand Prix,5.281,2024
Australian Grand Prix,5.278,2025
Chinese Grand Prix,5.451,2025
Japanese Grand Prix,5.807,2025
Bahrain Grand Prix,5.412,2025
Saudi Arabian Grand Prix,6.174,2025
Miami Grand Prix,5.412,2025
Emilia Romagna Grand Prix,4.909,2025
Monaco Grand Prix,3.337,2025
Spanish Grand Prix,4.657,2025
Canadian Grand Prix,4.361,2025
Austrian Grand Prix,4.326,2025
British Grand Prix,5.891,2025
